,,对外文案,,shareh5_cm_showout,我给你发来一个圣诞祝福，快来瞧瞧！,我給你發來一個聖誕祝福，快來瞧瞧！,A X'mas wish for you. Check it!,Te envío un deseo de Navidad.¡Échale un vistazo!,Вам отправлено новогоднее пожелание. Проверьте!,Enviou-lhe um desejo do natal. Confira!,"Senden Sie einen Wunsch, probiert mal.",크리스마스 축복드려요,クリスマスの祝福を送った、開けてみて,On vous a envoyé les vœux de Nöel. Vérifiez-le!,Ti ha inviato un augurio di Natale. Controllalo!,ارسلنا لك تهاني عيد الميلاد المجيد،تحقق من ذلك ! ,Sana bir Noel hediyesi gönderdim. Kontrol et!,"Memberi selamat kepada Anda untuk Hari Natal!Ayo,cepat lihat!",,
,,中间页文案,,shareh5_cm_middle,圣诞快乐,聖誕快樂,Merry Christmas,Feliz Navidad,С рождеством,Feliz Natal,Fröhliche Weihnachten,메리 크리스마스,メリークリスマス,Joyeux Noël,Buon Natale,عيد ميلاد سعيد,Noeller Günü Kutlu Olsun!,Selamat hari Natal,,
,dear的多语言,,,,,,,,,,,,,,,,,,,
,文案1,,,shareh5_cm_words_1,遇见你时，我心里的小鹿撞成了脑震荡。,遇見你時，我心裡的小鹿撞成了腦震盪。,Will you be me valentine?,"Te amo hoy, mañana, y...siempre.",Приглашаю тебя на романтическое свидание!,Tem como não sorrir quando me lembro de você?,Du bist wichtig für mich,무슨 타는 냄새 안 나요? 당신을 향한 내 마음이 타고 있잖아요.,今から俺の最大の秘密を打ち明ける。君のことが好きだったんだ。,"Je t'aime aujourd'hui, demain, et ... toujours.","Quando ti ho incontrato, il mio cuore sferraglia",,Sevgilim olur musun?,Saya jatuh cinta padamu pada pandangan pertama kali,,
,文案2,,,shareh5_cm_words_2,弹奏这首歌的时候，我想起了你。,彈奏這首歌的時候，我想起了你。,Better with headphones,Te echo de menos cuando toco esta canción.,"Я думаю о тебе, когда играю эту мелодию.",Eu sinto sua falta quando eu tocar essa música.,"Wenn ich die Musik spiele, vermisse ich dich.",이 노래를 할 때 당신 생각이 납니다.,この曲を演奏していると会いたくなる。,Tu me manques quand je joue ce morceau.,Mi manchi quando gioco la musica,,Şarkı oynamaya başlarken seni özlüyorum.,Saya rindu sama kamu ketika saya main lagu ini.,,
,文案3,,,shareh5_cm_words_3,送你一份独一无二的情人节礼物。,送你一份獨一無二的情人節禮物。,Send you a unique Valentine's Day gift.,Te envío un regalo singular para el día de San Valentín.,Подарок ко Дню всех влюбленных для тебя.,Enviamos para você um presente personalizado do Dia dos Namorados.,Schickt Ihnen ein Geschenk für Valentinstag,당신에게 독특한 발렌타인데이 선물을 드릴 것입니다.,特別なバレンタインプレゼントを贈る。,Je t'envoie un cadeau unique de Saint-Valentin.,Ti ho invitato un regalo unico di San Valentino,,Sana benzersiz bir Sevgililer Günü Hediyesi Gönderildi.,Beri sebuah kado Valentine yang unik kepadamu,,
,文案4,,,shareh5_cm_words_4,朕心悦你！,我喜欢你！,I love you！,¡Te quiero!,Я тебя люблю!,Te amo!,Ich liebe dich!,사랑합니다.,愛してる！,Je t'aime,Ti amo,,Seni seviyorum!,Saya sayang sama kamu,,
,文案5,,,shareh5_cm_words_5,点击编辑文字,點擊編輯文字,Click here to edit the words.,Clic aqui para redactar,Нажмите для редактирования текста.,Clique para editar.,Tippt hier zum Redigieren der Schriften,여기를 클릭하여 문자를 편집할 수 있습니다.,クリックして編集,Cliquer ici pour éditer.,Clicca qui per editare le parole.,,Sözleri düzenlemek için burayı tıklayın.,Tekan untuk edit,,
,send按钮,,,,,,,,,,,,,,,,,,,
拉评分小窗-CocosProject_shop_unlock_level_failpay_quitgame_share_remind_rate,,标题,,Text_title_enjoy,喜欢我们么？,喜歡我們么？,Enjoying PianoTiles2?,¿Disfrutas de PianoTiles2?,Нравится наша игра?,Desfruta do PianoTiles2?,Genießen Sie Piano Tiles 2?,piano tiles 2 를 좋아하세요 ?,面白いですか？,"Aimez-vous Piano Tiles 2?
",Ti piace Piano tiles 2?,"هل تحب "" بيانو تايلز 2""",Bu oyunu beğeniyor musun?,Suka Piano tiles 2?,,
,,确认按钮（gp）,,Button_rate,去评五星 >>,去評五星 >>,Rate 5 Stars>>,Danos 5 estrellas,Оценить>>,Dar 5 estrelas >>,5 Sterne geben>>,별 5개 평가하기>>,評価します >>,Donnez 5 étoiles!,Vota 5 Stelle>>,تقييم 5 نجوم,5 Yıldız Verin,Beri bintang,,
,,确认按钮（iOS）,,Button_rate_ios,去评五星 >>,去評五星 >>,Rate 5 Stars>>,Danos 5 estrellas,Оценить>>,Dar 5 estrelas >>,5 Sterne geben>>,별 5개 평가하기>>,評価します >>,Donnez 5 étoiles!,Vota 5 Stelle>>,تقييم 5 نجوم,5 Yıldız Verin,Beri bintang,,
,,拒绝按钮,,Button_notreally,暂不评论,暫不評論,Not really,Más tarde,Не сейчас,Mais tarde,Nicht wirklich.,별로,いいえ,"Pas maintenant
",Non ora,لا تعليق,Şimdi Değil,Bukan sekarang,,
,,正文（gp）,,Text_rateusfive_withstar,如果您喜欢，给个5星支持我们吧^.^,如果您喜歡，給個5星支持我們吧^.^,Please rate us five stars on Google Play. Thank you!,Haz el favor de darnos 5 estrellas en Google Play~¡Gracias! ,"Пожалуйста, поставьте нам 5 звезд на Google Play! Спасибо!","Dê-nos 5 estrelas no Google Play, por favor. Obrigado.",Bitte gib' uns fünf Sterne im Google Play Store. Danke!,저희에게 별 5개를 주세요! 감사합니다!,5つ星評価私からもよろしくお願いします！,Donnez-nous cinq étoiles sur Google Playt. Merci!,Perfavore vota 5 stelle su Google Play. Grazie!,يرجى تقييمنا بخمسة نجوم في GP. شكرا جزيلا!,Lütfen Google Store'de bize beş yıldız puan verin.,Plis beri bintang lima di Google Play! Makasih ya!,,
,,正文（iOS）,,Text_rateusfive_nostar,如果您喜欢，请给我们个评分吧^.^,如果您喜歡，請給我們個評分吧^.^,"If you like Piano Tiles 2, rate us on App Store! Thank you!","Si te gusta Piano Tiles 2, califícala en App Store~¡Gracias! ","Пожалуйста, поставьте нам 5 звезд в App Store! Спасибо!","Se gostar de Piano Tiles 2, classifique-nos na App Store. Obrigado!",Magst Du Piano Tiles 2? Bewerte uns im AppStore!,이 게임 좋아하면 평가해 주세요!,愛していれば、App Storeで私たちを評価!,"Si vous aimez Piano Tiles 2, notez-nous sur l'App Store! Merci!","Se ti piace Piano Tiles 2, votalo sull'App Store! Grazie!",تقييمنا في App Store إذا تحب اللعبة! شكرا جزيلا!,"Piano Tiles 2 seviyorsanız, lütfen App Store'de bize beş yıldız puan verin.",Beri bintang di App store jika Anda suka Piano tiles 2!Terima kasih!,,
金币购买小窗（iOS）,未开启内购功能的文案,,,coming_soon,更多服务即将开启...,更多服務即將開啟...,More features coming soon...,Más funciones en breve,Следите за обновлениями...,Mais funções em breve...,Weitere Features folgen in Kürze!,더 많은 기능이 곧 나올 거예요.,もっとサービス、お楽しみに!,Plus de services à venir bientôt!,Più caratteristiche sono in arrivo...,مزيد من الخدمات ستفتح قريبا,Daha fazla özellik yakında geliyor…,Lebih banyak fitur akan cepat dikeluarkan,,
邮件反馈内容,邮件反馈内容,title,,send_email,发送邮件,發送郵件,Send Email,Enviar correo,Отправить письмо,Enviar Email,E-Mail senden,메일을 보내기,メール送信,Envoyer un courriel,Invia Email,ارسل ايميل,E-posta gönderin,kirim email,,
,,主題,,title_feedback,钢琴块2——问题反馈邮件,鋼琴塊2——問題反饋郵件,Piano Tiles 2： Bug Feedback,Piano Tiles 2-Comentarios de bug,Плитки фортепиано 2 – Обратная связь,Piano Tiles  Bug feedback,Piano Tiles  Bug Feedback,피아노 타일2-문제 피드백 메일,ピアノタイル2 フィードバック,Piano Tiles  Bug Feedback,Piano Tiles  Feedback di Bug,بيانو تايلز 2 :تعليقات بعض المشاكل,Piano Tiles  Hata Görüşleri,Piano Tiles tanggapan terhadap bug,,
,,文案,,text_feedback,亲，您有什么想要对我们吐槽的吗？（如钻石购买失败、登陆问题、游戏记录丢失、游戏卡顿、没有音效等）,親，您有什麼想要對我們吐槽的嗎？（如鑽石購買失敗、登陸問題、遊戲記錄丟失、遊戲卡頓、沒有音效等）,"Dear player, Anything to tell the developers? (failure of diamond purchase, login problem, progress loss, lagging and sound problem, etc )","Estimado jugador, ¿hay algo que quieras decir a los desarrolladores del juego?(Acerca del fallo de comprar diamantes, problemas de login, pérdida de la historia del juego, problema de traba, sin sonido, etc.) ","Дорогой игрок! Пожалуйста, расскажите нам с какими проблемами в игре вы столкнулись. Например, не удалось купить алмазы, не получается войти, пропал игровой прогресс, игра тормозит или нет звука, и т.д.","Caro jogador, tem alguma coisa que você quer dizer aos desenvolvedores? (falha de compra de diamantes, problema de login, perda de progresso, problemas de som, travamento, etc)","Sehr geehrter Spieler, gibt es irgendetwas, was Du den Entwicklern mitteilen möchtest? (Diamantenfehler, Login-Probleme, Fortschrittsverlüste, Lags, Soundprobleme, etc.)","고객님, 당신은 개발자에게 말씀하고 싶으신 게 있나요?(다이아 구매 실패,로그인 문제,게임 기록 초기화,렉,사운드 이상 문제 등)",親愛なるプレイヤーは、あなたが私たちのTucaoそれに望むものがありますか？例えばダイヤの購入失敗、ログイン問題、データの紛失、ゲームラグ、サウンドがないとか。,"Salut Cher Joueur, avez-vous quelques choses à dire aux développeurs? (échec de l'achat de diamants, problème de connexion, perte de progrès, problème de son ou lagging )","Ciao~ cari giocatori, c'è qualcosa che vuoi dire gli sviluppatori? (Per esembio, il fallimento di acquisto di diamanti, il problema di accedere, la perdita dei dati, il problema di ritardo e non si sente il suono, ecc)",عزيزي اللاعب هل لديك بعض التعليقات حول بعض المشاكل التي يمكن مصادفتها أثناء اللعب؟( فشل شراء ألماس ،مشاكل في  الاتصال ،مشاكل في الصوت...),"Merhaba sevgili oyuncu, geliştiricimize söylemek istediğiniz şey var mı? (Başarısız elmas satın alma, giriş problemleri, ilerleme kaybı, geri kalmış, ses sorunu vb.)","Halo pemain Yth,ada yang mau memberi tahu kepada pengembang game?(gagal membeli diamond,masalah login,kehilangan progres,lagging,masalah suara dll.）",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
设置页混音开关-CocosProject_homepage_musiclist_hall_setting,列表卡片,标题,,Auto sound quality control,音质自动调节,音質自動調節,Auto sound quality control,Auto-ajustes del sonido,Автонастройка звука,Auto-ajuste de música,Musik anpassen,자동 음질 컨트롤,自動音質制御,Contrôle de la qualité du son auto,Autocontrollo del suono,تعديل الصوت,Otomatik ses kontrolü,Fitur otomatis timbre,,
,,打开,,,开,開,On,Sí,Вкл,Sim,An,켜기,オン,Oui,accendi,تشغيل,,,,
,,关闭,,,关,關,Off,No,Выкл,Não,Aus,끄기,オフ,Non,spegni ,إيقاف,,,,
,重启提醒,标题,,Tips,提醒,提醒,Tips,Consejos,Советы,Dica,Tipps,팁,リーマインド,Astuce,Suggerimenti,نصائح,İpuçları,Tips,,
,,文案,,Restart to change settings,更改设置需要重启游戏,更改設置需要重啟遊戲,Restart to change settings,Reiniciar para cambiar la configuración,"Перезагрузите игру, чтобы изменить настройки.",Reinicie para alterar as configurações,"Starte neu, um Einstellungen zu speichern",게임 재부팅해야 설정 변경 적용할 수 있습니다.,リーセットしてから再起動が必要,Redémarrer pour modifier les paramètres,Restarta per cambiare le impostazioni,إعادة التشغيل لتغيير الإعدادات,Ayarları değiştirmek için yeniden başlatın,Buka game lagi untuk mengubah pengaturan,,
,,取消按鈕,,Cancel,取消,取消,Cancel,Cancelar,Отмена,Cancelar,Abbrechen,취소,キャンセル,Annuler,Cancella,إلغاء,İptal,Batal,,
,,確認按鈕,,Confirm,确认更改,確認更改,Confirm,Confirmar,Подтвердить,Confirmar,Bestätigen,확인,確認,Confirmer,Conferma,تأكيد,Onayla,Konfirmasi,,
启动页音频解析loading-CocosProject_littlestar,,,,loading,加载中...,加載中...,Loading...,Cargando...,Загрузка...,Carregando...,Laden...,로딩...,準備中,Chargement ...,Caricando…,جاري التحميل,Yükleniyor,Loading,,
,,文案,,text_computer,手机系统加载资源中...,手機系統加載資源中...,Phone system is loading resources...,El sistema del celular está cargando recursos...,Cистема загружается...,Sistema do cel carregando recursos,Telefon-System wird geladen ...,폰 시스템 리소스 로딩중...,電話システム資源をローディング中...,Chargement des ressources du système...,Il sistema del telefono sta caricando le risorse,جاري تحميل الموارد لنظام الهاتف,Telefon sistemi kaynaklarını yükleniyor...,Sistem telepon sedang memproses hasil,,
致谢,Tab,设置页卡片,,text_fans,荣誉粉丝,榮譽粉絲,Honorary fans,Fans Honorarios,Почетные игроки,Fãs honorários,Ehre Fans,명예의 팬들,名誉ファン,Chers fans honoraires,Appassionati onorari,معجبون شرفيون,Onursal Hayran,Penggemar kehormatan,,
,详情页,title,,text_fans_0,致谢,致谢,Thanks,,,,,,,,,,,,,
,,文案,,text_fans_1,从测试版到现在，感谢这一路上支持我们的所有粉丝！,從測試版到現在，感謝這一路上支持我們的所有粉絲！,We want to thank all the fans that have supported us since the beta version.,Gracias a todos los fans que nos han estado apoyando desde la versión beta,"Благодарим всех игроков, поддерживавших нас, начиная с бета-версии.",Queremos agradecer a todos os fãs que nos apoiaram desde a versão beta,"Wir möchten uns bei allen Fans bedanken, die uns seit der Beta-Version unterstützt haben.",베타 버전부터 함께해준 모든 유저님들 감사의 인사를 올립니다.,ベタバージョンから今までずっと我々を支える皆様に感謝しております。,Nous tenons à remercier tous les fans qui nous ont soutenus depuis la version bêta,Vogliamo ringraziare tutti gli appassionati che ci hanno sostenuto dalla versione beta.,نريد أن نشكر جميع المعجبين لدعمهم لنا منذ النسخة التجريبية,Deneme sürümden bu zamana kadarki destekleriniz için tüm fanlarımıza teşekkür ederiz.,Terima kasih atas dukungan semua penggemar sejak versi tes.,,
,详情页,文案,,text_fans_2,还有更多…,還有更多...,And many more...,Y mucho más...,И многих других...,E muito mais...,Und viel mehr,등등...,また....,Et beaucoup plus...,Ancora molti altri...,وأكثر من ذلك ...,Daha çok…,Masih lebih banyak,,
粉丝页,,默认文案,,fans_card_title,等你来！,黑白塊臉書俱樂部,Waiting for you!,¡Esperándote!,Мы ждем вас!,Esperando por você!,Warten auf dich!!,기다릴께요!,君を待っています,On vous attend,Ti aspetto!,في انتظاركم!,Sizi bekliyor!,Sedang menunggu Anda!,,
,,默认文案,,fans_card_content,粉丝俱乐部,粉絲都在這！就差你了！,Fans Club,Club de fans,Фан-клуб,Clube de fãs,Fan-Seite,팬클럽,ファンクラブ,Fans Club,Fans Club,نادي معجبين,Hayran Kulübü,Klub penggemar,,
,,默认文案,,fans_card_button,去瞧瞧,立即看看,Go,Ir,Смотреть,Ir,Los!,출발,みてみる,Allez-y,Visita,اذهب,İleri Git,Go,,
